transaction_id,status,bank,region,hour,payment_mode,timestamp,day,month,peak_hour,failure_reason,failed_payment_mode
70,Success,PNB,Pune,7,Card,2025-06-21,Sunday,May,12,,
71,Success,SBI,Kolkata,7,UPI,2025-02-13,Wednesday,May,18,,
72,Failure,BOB,Hyderabad,7,Card,2025-05-28,Monday,January,12,Insufficient Balance,Card
73,Failure,Kotak,Kolkata,16,UPI,2025-03-18,Tuesday,January,12,Invalid UPI ID,UPI
74,Success,PNB,Pune,1,Net Banking,2025-02-20,Saturday,May,12,,
75,Success,Kotak,Bengaluru,17,UPI,2025-05-01,Wednesday,May,18,,
76,Success,HDFC,Kolkata,3,UPI,2025-05-13,Sunday,April,12,,
77,Success,AXIS,Pune,14,Net Banking,2025-02-27,Friday,February,12,,
78,Success,HDFC,Delhi,17,Wallet,2025-01-07,Tuesday,May,12,,
79,Success,AXIS,Chennai,22,Card,2025-01-18,Friday,March,12,,
80,Success,HDFC,Pune,11,Card,2025-06-10,Tuesday,February,21,,
81,Success,ICICI,Mumbai,10,Card,2025-06-10,Tuesday,June,12,,
82,Success,BOB,Hyderabad,1,UPI,2025-06-10,Wednesday,April,21,,
83,Failure,HDFC,Delhi,9,UPI,2025-02-06,Friday,May,9,Wrong PIN,UPI
84,Success,BOB,Delhi,16,Net Banking,2025-02-12,Saturday,May,9,,
85,Success,Kotak,Delhi,0,UPI,2025-02-03,Sunday,January,21,,
86,Success,PNB,Mumbai,14,Wallet,2025-02-07,Saturday,June,18,,
87,Success,AXIS,Delhi,12,UPI,2025-03-28,Wednesday,February,12,,
88,Success,AXIS,Bengaluru,22,Card,2025-04-11,Monday,April,12,,
89,Success,AXIS,Hyderabad,13,UPI,2025-02-12,Saturday,May,12,,
90,Success,AXIS,Chennai,14,Card,2025-06-07,Tuesday,March,12,,
91,Success,ICICI,Pune,8,Wallet,2025-03-19,Saturday,April,21,,
92,Success,PNB,Hyderabad,10,Card,2025-06-22,Saturday,May,9,,
93,Success,AXIS,Kolkata,1,Wallet,2025-01-28,Thursday,January,9,,
94,Success,BOB,Kolkata,19,Card,2025-01-15,Saturday,May,21,,
95,Success,ICICI,Bengaluru,0,Card,2025-02-10,Tuesday,February,18,,
96,Success,HDFC,Chennai,9,Net Banking,2025-03-01,Friday,May,9,,
97,Success,BOB,Mumbai,6,Wallet,2025-05-13,Tuesday,June,18,,
98,Success,SBI,Delhi,23,UPI,2025-01-07,Saturday,April,18,,
99,Failure,BOB,Mumbai,21,Wallet,2025-04-25,Friday,June,21,Insufficient Balance,Wallet
100,Success,SBI,Chennai,18,UPI,2025-03-18,Sunday,February,18,,
101,Success,HDFC,Hyderabad,4,UPI,2025-03-14,Saturday,February,12,,
102,Success,SBI,Kolkata,20,UPI,2025-01-08,Tuesday,February,9,,
103,Success,HDFC,Bengaluru,23,Card,2025-05-04,Saturday,May,9,,
104,Success,PNB,Hyderabad,5,Card,2025-02-17,Friday,April,18,,
105,Success,SBI,Kolkata,11,Card,2025-01-06,Saturday,January,12,,
106,Success,ICICI,Hyderabad,9,Wallet,2025-01-27,Monday,February,9,,
107,Success,AXIS,Delhi,20,UPI,2025-06-14,Wednesday,March,18,,
108,Success,BOB,Chennai,15,UPI,2025-06-19,Friday,May,9,,
109,Success,ICICI,Mumbai,18,Wallet,2025-04-28,Tuesday,May,18,,
110,Success,HDFC,Chennai,16,UPI,2025-04-06,Saturday,May,21,,
111,Success,PNB,Kolkata,6,Net Banking,2025-05-24,Tuesday,February,12,,
112,Failure,BOB,Chennai,9,Card,2025-05-26,Wednesday,June,9,Bank Server Down,Card
113,Success,AXIS,Pune,5,Wallet,2025-05-14,Saturday,January,9,,
114,Success,ICICI,Chennai,9,Wallet,2025-03-05,Saturday,April,9,,
115,Success,ICICI,Chennai,6,Net Banking,2025-01-09,Saturday,May,18,,
116,Success,HDFC,Pune,20,Card,2025-01-26,Saturday,March,18,,
117,Success,PNB,Mumbai,23,Card,2025-03-16,Tuesday,January,12,,
118,Failure,ICICI,Mumbai,13,Card,2025-01-14,Sunday,March,21,Bank Server Down,Card
119,Success,AXIS,Delhi,7,Card,2025-03-23,Sunday,January,12,,
120,Success,BOB,Kolkata,11,Card,2025-05-17,Friday,June,12,,
121,Success,Kotak,Hyderabad,4,UPI,2025-03-02,Sunday,February,18,,
122,Failure,BOB,Kolkata,1,UPI,2025-03-19,Monday,April,12,Daily Limit Exceeded,UPI
123,Success,ICICI,Bengaluru,13,UPI,2025-05-06,Monday,June,21,,
124,Success,SBI,Kolkata,23,Card,2025-04-03,Friday,May,9,,
125,Success,ICICI,Bengaluru,10,Net Banking,2025-01-09,Wednesday,January,9,,
126,Success,BOB,Kolkata,17,Net Banking,2025-05-08,Friday,May,21,,
127,Success,PNB,Delhi,20,Net Banking,2025-05-07,Thursday,May,12,,
128,Success,SBI,Kolkata,20,UPI,2025-03-06,Monday,June,21,,
129,Failure,SBI,Chennai,5,Wallet,2025-04-23,Friday,May,9,Bank Server Down,Wallet
130,Success,AXIS,Delhi,9,Wallet,2025-01-25,Friday,March,9,,
131,Failure,BOB,Kolkata,0,Wallet,2025-05-22,Tuesday,May,9,Daily Limit Exceeded,Wallet
132,Success,Kotak,Bengaluru,15,Wallet,2025-04-08,Monday,May,18,,
133,Failure,PNB,Chennai,6,Net Banking,2025-04-05,Wednesday,May,12,Invalid UPI ID,Net Banking
134,Success,ICICI,Hyderabad,2,Wallet,2025-01-10,Tuesday,January,18,,
135,Success,SBI,Mumbai,16,UPI,2025-04-06,Sunday,March,12,,
136,Failure,HDFC,Bengaluru,6,UPI,2025-02-22,Friday,February,12,Network Issue,UPI
137,Success,HDFC,Delhi,14,Card,2025-01-24,Friday,February,9,,
138,Success,BOB,Delhi,6,Card,2025-04-09,Wednesday,February,18,,
139,Success,ICICI,Delhi,18,Net Banking,2025-06-08,Sunday,February,18,,
140,Success,AXIS,Pune,4,Net Banking,2025-03-13,Saturday,May,21,,
141,Success,ICICI,Pune,16,Wallet,2025-06-07,Friday,June,18,,
142,Success,ICICI,Pune,10,Wallet,2025-04-25,Thursday,March,21,,
143,Success,HDFC,Mumbai,0,Net Banking,2025-04-17,Saturday,June,18,,
144,Success,ICICI,Mumbai,5,UPI,2025-04-12,Friday,June,21,,
145,Success,BOB,Hyderabad,17,UPI,2025-05-10,Monday,January,9,,
146,Success,PNB,Hyderabad,4,UPI,2025-01-18,Tuesday,May,12,,
147,Success,BOB,Bengaluru,19,Wallet,2025-01-12,Monday,May,21,,
148,Failure,PNB,Kolkata,1,UPI,2025-01-27,Friday,February,21,Bank Server Down,UPI
149,Success,AXIS,Mumbai,19,Net Banking,2025-02-20,Thursday,April,18,,
150,Failure,BOB,Delhi,20,UPI,2025-02-19,Tuesday,June,18,Daily Limit Exceeded,UPI
151,Success,BOB,Kolkata,6,Net Banking,2025-03-05,Friday,April,9,,
152,Success,HDFC,Kolkata,1,Card,2025-02-07,Monday,January,9,,
153,Success,ICICI,Hyderabad,0,Card,2025-04-26,Monday,April,21,,
154,Success,SBI,Mumbai,9,Net Banking,2025-05-23,Thursday,January,9,,
155,Success,BOB,Mumbai,1,Net Banking,2025-04-25,Wednesday,April,18,,
156,Failure,SBI,Bengaluru,6,Card,2025-05-16,Friday,June,18,Network Issue,Card
157,Failure,HDFC,Pune,14,Card,2025-06-07,Tuesday,January,18,Insufficient Balance,Card
158,Success,HDFC,Hyderabad,12,Wallet,2025-02-21,Sunday,February,12,,
159,Success,ICICI,Chennai,3,UPI,2025-04-26,Friday,April,21,,
160,Success,AXIS,Hyderabad,20,UPI,2025-05-03,Thursday,May,9,,
161,Success,AXIS,Pune,20,Card,2025-01-18,Wednesday,June,12,,
162,Success,PNB,Hyderabad,4,Net Banking,2025-02-18,Sunday,February,21,,
163,Success,ICICI,Chennai,11,Net Banking,2025-02-19,Sunday,March,21,,
164,Success,SBI,Hyderabad,7,Wallet,2025-01-13,Tuesday,February,18,,
165,Success,BOB,Bengaluru,15,Net Banking,2025-03-26,Sunday,March,21,,
166,Success,BOB,Bengaluru,0,Wallet,2025-03-20,Sunday,May,21,,
167,Success,BOB,Delhi,13,Wallet,2025-05-01,Sunday,June,18,,
168,Failure,ICICI,Delhi,1,Card,2025-02-03,Tuesday,May,21,Network Issue,Card
169,Success,ICICI,Bengaluru,10,UPI,2025-03-02,Sunday,February,12,,
170,Success,ICICI,Mumbai,17,UPI,2025-01-24,Friday,April,12,,
171,Success,SBI,Delhi,5,UPI,2025-02-05,Monday,January,9,,
172,Success,SBI,Kolkata,10,Wallet,2025-01-04,Friday,February,18,,
173,Success,HDFC,Mumbai,18,UPI,2025-04-24,Monday,March,18,,
174,Success,SBI,Bengaluru,1,Card,2025-06-10,Wednesday,June,9,,
175,Success,Kotak,Mumbai,8,Card,2025-04-08,Wednesday,May,12,,
176,Failure,HDFC,Delhi,11,UPI,2025-05-07,Wednesday,February,12,Bank Server Down,UPI
177,Success,SBI,Delhi,4,Card,2025-02-07,Tuesday,March,21,,
178,Success,AXIS,Chennai,14,UPI,2025-05-19,Wednesday,March,9,,
179,Success,AXIS,Bengaluru,9,Wallet,2025-02-03,Monday,March,9,,
180,Success,SBI,Mumbai,11,Card,2025-03-14,Thursday,April,18,,
181,Success,ICICI,Hyderabad,4,UPI,2025-01-19,Tuesday,June,18,,
182,Failure,BOB,Pune,16,Wallet,2025-06-26,Sunday,March,9,Network Issue,Wallet
183,Failure,HDFC,Bengaluru,1,Card,2025-01-01,Friday,May,21,Invalid UPI ID,Card
184,Failure,AXIS,Kolkata,4,Wallet,2025-01-12,Saturday,April,18,Network Issue,Wallet
185,Success,Kotak,Kolkata,14,Card,2025-01-05,Thursday,March,18,,
186,Success,BOB,Kolkata,0,UPI,2025-03-12,Wednesday,March,18,,
187,Success,PNB,Mumbai,10,Net Banking,2025-04-14,Saturday,March,12,,
188,Success,Kotak,Hyderabad,1,Wallet,2025-02-02,Monday,June,9,,
189,Success,Kotak,Kolkata,12,Wallet,2025-04-23,Friday,April,12,,
190,Success,SBI,Bengaluru,13,Wallet,2025-01-15,Monday,April,9,,
191,Success,AXIS,Delhi,10,Card,2025-01-10,Saturday,January,18,,
192,Success,HDFC,Chennai,15,Card,2025-05-07,Thursday,January,21,,
193,Success,PNB,Pune,18,UPI,2025-06-05,Thursday,February,18,,
194,Success,AXIS,Pune,19,UPI,2025-01-25,Thursday,May,12,,
195,Success,PNB,Pune,6,Card,2025-03-22,Monday,April,18,,
196,Success,BOB,Chennai,8,Wallet,2025-06-14,Sunday,March,12,,
197,Success,SBI,Pune,14,Card,2025-05-08,Tuesday,May,12,,
198,Success,BOB,Pune,10,Net Banking,2025-05-07,Tuesday,February,9,,
199,Success,AXIS,Kolkata,11,UPI,2025-06-16,Sunday,May,21,,
200,Failure,SBI,Pune,13,Net Banking,2025-03-27,Tuesday,March,18,Network Issue,Net Banking
201,Success,SBI,Bengaluru,20,Card,2025-04-25,Saturday,January,21,,
202,Success,PNB,Pune,8,UPI,2025-01-11,Wednesday,May,18,,
203,Failure,BOB,Delhi,5,Card,2025-04-06,Saturday,May,9,Daily Limit Exceeded,Card
204,Success,PNB,Mumbai,9,UPI,2025-02-28,Monday,May,9,,
205,Success,PNB,Kolkata,11,UPI,2025-04-08,Saturday,May,9,,
206,Success,ICICI,Chennai,17,Wallet,2025-06-22,Friday,May,9,,
207,Success,AXIS,Chennai,0,Card,2025-01-08,Thursday,June,21,,
208,Success,HDFC,Hyderabad,6,UPI,2025-03-23,Sunday,April,18,,
209,Success,Kotak,Chennai,16,Net Banking,2025-05-25,Saturday,April,21,,
210,Success,SBI,Kolkata,6,Wallet,2025-02-17,Saturday,April,9,,
211,Success,BOB,Bengaluru,19,Net Banking,2025-04-01,Friday,May,12,,
212,Success,Kotak,Mumbai,7,Net Banking,2025-01-16,Thursday,May,9,,
213,Success,HDFC,Mumbai,14,Wallet,2025-05-02,Tuesday,January,12,,
214,Success,SBI,Kolkata,3,Wallet,2025-04-22,Wednesday,March,12,,
215,Success,HDFC,Hyderabad,16,Wallet,2025-01-03,Monday,April,9,,
216,Success,HDFC,Pune,18,Wallet,2025-04-23,Monday,February,18,,
217,Success,PNB,Chennai,9,Wallet,2025-05-01,Friday,January,9,,
218,Success,SBI,Pune,18,Wallet,2025-02-10,Sunday,April,18,,
219,Success,ICICI,Delhi,16,UPI,2025-05-13,Friday,June,12,,
220,Success,SBI,Pune,7,Card,2025-02-04,Sunday,February,9,,
221,Success,AXIS,Pune,17,UPI,2025-03-26,Wednesday,February,18,,
222,Success,PNB,Mumbai,16,UPI,2025-02-08,Friday,June,21,,
223,Success,ICICI,Hyderabad,21,Wallet,2025-06-15,Thursday,April,21,,
224,Success,BOB,Pune,22,Net Banking,2025-01-02,Sunday,January,9,,
225,Success,PNB,Delhi,15,Net Banking,2025-05-12,Saturday,January,9,,
226,Success,BOB,Bengaluru,5,UPI,2025-02-05,Thursday,April,18,,
227,Success,AXIS,Delhi,5,Net Banking,2025-04-02,Saturday,February,12,,
228,Success,SBI,Kolkata,9,Card,2025-04-03,Friday,May,9,,
229,Success,BOB,Delhi,8,Card,2025-06-22,Sunday,January,12,,
230,Failure,SBI,Pune,9,Wallet,2025-03-14,Sunday,April,9,Insufficient Balance,Wallet
231,Failure,SBI,Pune,7,Net Banking,2025-03-13,Tuesday,March,9,Invalid UPI ID,Net Banking
232,Success,PNB,Pune,10,Net Banking,2025-01-28,Tuesday,February,12,,
233,Success,HDFC,Kolkata,4,Wallet,2025-04-28,Tuesday,January,12,,
234,Success,Kotak,Chennai,10,UPI,2025-03-17,Monday,June,18,,
235,Success,HDFC,Bengaluru,20,Wallet,2025-05-15,Wednesday,March,21,,
236,Success,SBI,Hyderabad,23,Wallet,2025-03-08,Tuesday,June,21,,
237,Success,Kotak,Kolkata,5,Net Banking,2025-03-12,Sunday,May,12,,
238,Success,ICICI,Hyderabad,4,Wallet,2025-06-25,Sunday,February,9,,
239,Success,AXIS,Hyderabad,1,Net Banking,2025-03-23,Friday,May,21,,
240,Success,HDFC,Chennai,22,Net Banking,2025-03-04,Sunday,March,9,,
241,Success,ICICI,Delhi,0,Net Banking,2025-04-19,Wednesday,April,9,,
242,Success,PNB,Pune,10,Card,2025-01-24,Thursday,May,12,,
243,Success,PNB,Delhi,6,Wallet,2025-05-17,Wednesday,April,12,,
244,Success,PNB,Hyderabad,0,Net Banking,2025-05-21,Thursday,February,18,,
245,Success,AXIS,Pune,10,Wallet,2025-02-01,Monday,May,12,,
246,Success,PNB,Chennai,21,UPI,2025-05-07,Monday,May,21,,
247,Success,BOB,Pune,21,UPI,2025-05-26,Wednesday,June,21,,
248,Success,ICICI,Bengaluru,18,Card,2025-05-07,Saturday,January,18,,
249,Success,ICICI,Chennai,21,UPI,2025-04-27,Tuesday,February,21,,
250,Success,ICICI,Kolkata,1,Card,2025-01-02,Saturday,February,12,,
251,Success,AXIS,Pune,22,Wallet,2025-05-01,Sunday,May,18,,
252,Success,SBI,Hyderabad,0,Wallet,2025-03-16,Friday,February,12,,
253,Failure,Kotak,Chennai,12,Wallet,2025-04-15,Monday,April,12,Insufficient Balance,Wallet
254,Success,ICICI,Bengaluru,20,Card,2025-01-02,Sunday,May,21,,
255,Success,PNB,Pune,6,Net Banking,2025-05-01,Sunday,April,9,,
256,Success,ICICI,Mumbai,12,Net Banking,2025-06-10,Tuesday,May,12,,
257,Success,PNB,Mumbai,3,UPI,2025-02-23,Sunday,April,21,,
258,Success,PNB,Hyderabad,12,Wallet,2025-01-14,Friday,March,12,,
259,Success,SBI,Bengaluru,16,Card,2025-06-13,Saturday,March,21,,
260,Failure,Kotak,Chennai,14,Card,2025-03-28,Saturday,May,12,Network Issue,Card
261,Success,ICICI,Delhi,20,Wallet,2025-05-23,Tuesday,June,12,,
262,Success,Kotak,Bengaluru,16,Net Banking,2025-05-15,Sunday,March,21,,
263,Success,Kotak,Kolkata,8,Wallet,2025-06-25,Tuesday,June,12,,
264,Success,BOB,Delhi,9,Card,2025-06-08,Tuesday,April,9,,
265,Success,PNB,Bengaluru,21,Net Banking,2025-03-27,Friday,June,21,,
266,Success,AXIS,Chennai,15,Net Banking,2025-04-19,Thursday,January,18,,
267,Success,BOB,Hyderabad,16,UPI,2025-05-13,Tuesday,May,18,,
268,Success,AXIS,Mumbai,7,Wallet,2025-04-08,Sunday,March,12,,
269,Success,PNB,Delhi,14,Card,2025-02-21,Sunday,May,21,,
270,Success,HDFC,Bengaluru,9,UPI,2025-05-04,Sunday,April,9,,
271,Success,PNB,Chennai,10,Net Banking,2025-04-02,Wednesday,March,21,,
272,Success,HDFC,Chennai,12,UPI,2025-04-11,Friday,May,12,,
273,Success,BOB,Bengaluru,6,Net Banking,2025-05-12,Thursday,April,12,,
274,Success,BOB,Chennai,21,UPI,2025-01-07,Friday,January,21,,
275,Success,SBI,Pune,1,Wallet,2025-04-24,Tuesday,January,9,,
276,Success,ICICI,Delhi,6,UPI,2025-04-17,Wednesday,January,12,,
277,Success,PNB,Bengaluru,19,Net Banking,2025-04-21,Sunday,April,12,,
278,Success,SBI,Delhi,11,Card,2025-02-21,Wednesday,May,12,,
279,Success,Kotak,Bengaluru,6,Net Banking,2025-02-22,Monday,June,9,,
280,Success,ICICI,Bengaluru,7,Net Banking,2025-06-01,Sunday,March,18,,
281,Success,BOB,Chennai,22,UPI,2025-03-28,Saturday,May,12,,
282,Failure,HDFC,Mumbai,8,Card,2025-03-01,Saturday,March,12,Wrong PIN,Card
283,Success,Kotak,Bengaluru,15,Net Banking,2025-06-19,Sunday,February,21,,
284,Success,SBI,Mumbai,6,Net Banking,2025-03-09,Sunday,June,9,,
285,Success,HDFC,Hyderabad,14,Net Banking,2025-06-04,Thursday,June,9,,
286,Failure,HDFC,Delhi,13,Net Banking,2025-05-11,Thursday,May,18,Invalid UPI ID,Net Banking
287,Success,HDFC,Hyderabad,13,UPI,2025-05-14,Saturday,May,18,,
288,Success,ICICI,Hyderabad,11,UPI,2025-05-17,Wednesday,January,12,,
289,Success,Kotak,Delhi,15,UPI,2025-06-21,Tuesday,April,12,,
290,Success,HDFC,Pune,8,Net Banking,2025-03-14,Saturday,March,21,,
291,Success,HDFC,Pune,6,Wallet,2025-05-05,Wednesday,February,18,,
292,Failure,ICICI,Kolkata,4,UPI,2025-03-01,Wednesday,June,18,Bank Server Down,UPI
293,Success,HDFC,Pune,15,Card,2025-03-11,Thursday,June,18,,
294,Success,BOB,Hyderabad,3,Wallet,2025-05-12,Saturday,January,9,,
295,Success,PNB,Delhi,16,Wallet,2025-06-02,Monday,February,18,,
296,Success,HDFC,Mumbai,17,Wallet,2025-06-10,Friday,May,18,,
297,Success,Kotak,Kolkata,15,Net Banking,2025-03-25,Wednesday,January,12,,
298,Success,PNB,Kolkata,18,Net Banking,2025-04-11,Saturday,June,18,,
299,Success,PNB,Hyderabad,4,Net Banking,2025-02-17,Tuesday,April,21,,
300,Success,PNB,Kolkata,2,Card,2025-03-23,Sunday,May,12,,
301,Success,ICICI,Mumbai,15,Card,2025-06-02,Friday,February,21,,
302,Success,PNB,Chennai,21,UPI,2025-05-14,Sunday,June,21,,
303,Success,HDFC,Chennai,13,Net Banking,2025-01-04,Thursday,April,18,,
304,Failure,Kotak,Hyderabad,1,Net Banking,2025-02-28,Friday,March,12,Daily Limit Exceeded,Net Banking
305,Success,AXIS,Kolkata,20,Net Banking,2025-04-27,Sunday,March,12,,
306,Success,AXIS,Hyderabad,4,Net Banking,2025-01-22,Sunday,January,21,,
307,Failure,BOB,Bengaluru,3,Card,2025-01-28,Sunday,February,12,Bank Server Down,Card
308,Success,HDFC,Hyderabad,1,UPI,2025-04-06,Wednesday,January,9,,
309,Success,HDFC,Chennai,4,Net Banking,2025-06-16,Monday,June,21,,
310,Success,PNB,Kolkata,2,UPI,2025-05-16,Tuesday,January,9,,
311,Failure,ICICI,Chennai,16,UPI,2025-04-02,Tuesday,May,12,Wrong PIN,UPI
312,Failure,AXIS,Pune,17,Net Banking,2025-04-14,Friday,February,18,Insufficient Balance,Net Banking
313,Success,SBI,Kolkata,12,Wallet,2025-01-02,Monday,April,12,,
314,Success,SBI,Kolkata,16,Card,2025-01-22,Wednesday,March,18,,
315,Success,BOB,Delhi,10,Wallet,2025-03-20,Saturday,March,18,,
316,Success,Kotak,Mumbai,11,Wallet,2025-01-17,Monday,May,9,,
317,Success,HDFC,Hyderabad,8,Card,2025-02-09,Saturday,June,9,,
318,Failure,HDFC,Pune,15,Card,2025-03-07,Friday,January,12,Wrong PIN,Card
319,Success,BOB,Kolkata,17,Net Banking,2025-03-06,Tuesday,April,21,,
320,Failure,SBI,Bengaluru,18,Card,2025-05-19,Friday,March,18,Network Issue,Card
321,Success,SBI,Kolkata,22,UPI,2025-03-08,Monday,May,9,,
322,Success,SBI,Delhi,6,Net Banking,2025-01-14,Wednesday,January,18,,
323,Success,PNB,Bengaluru,9,UPI,2025-02-27,Tuesday,January,9,,
324,Success,AXIS,Kolkata,21,Wallet,2025-05-28,Monday,January,21,,
325,Success,ICICI,Pune,11,Wallet,2025-01-17,Tuesday,February,21,,
326,Success,AXIS,Hyderabad,11,Card,2025-03-02,Saturday,January,12,,
327,Success,Kotak,Kolkata,5,UPI,2025-02-21,Wednesday,May,18,,
328,Success,SBI,Delhi,14,UPI,2025-06-22,Saturday,April,12,,
329,Success,Kotak,Pune,10,Net Banking,2025-03-27,Sunday,January,18,,
330,Success,Kotak,Pune,0,UPI,2025-01-17,Wednesday,January,9,,
331,Success,Kotak,Bengaluru,22,UPI,2025-02-22,Monday,May,18,,
332,Success,AXIS,Hyderabad,3,Wallet,2025-06-02,Saturday,June,18,,
333,Success,AXIS,Mumbai,10,Wallet,2025-01-26,Wednesday,January,21,,
334,Success,PNB,Hyderabad,23,Net Banking,2025-04-27,Friday,June,9,,
335,Success,AXIS,Mumbai,18,Net Banking,2025-01-14,Monday,February,18,,
